Cpu,Dataset,User,Cores,Threads,Min,Avg,StDev
13thGenIntelRCoreTMi5-13500,1B,abeobk,6,6,2.214,2.216,0.001
13thGenIntelRCoreTMi5-13500,1B,abeobk,6,12,1.772,1.773,0.001
13thGenIntelRCoreTMi5-13500,1B,artsiomkorzun,6,6,1.519,1.522,0.002
13thGenIntelRCoreTMi5-13500,1B,artsiomkorzun,6,12,1.469,1.471,0.001
13thGenIntelRCoreTMi5-13500,1B,austindonisan,6,6,1.393,1.398,0.001
13thGenIntelRCoreTMi5-13500,1B,austindonisan,6,12,0.714,0.742,0.002
13thGenIntelRCoreTMi5-13500,1B,buybackoff,6,6,1.538,1.555,0.011
13thGenIntelRCoreTMi5-13500,1B,buybackoff,6,12,1.488,1.491,0.003
13thGenIntelRCoreTMi5-13500,1B,CameronAavik,6,6,2.783,2.806,0.003
13thGenIntelRCoreTMi5-13500,1B,CameronAavik,6,12,2.222,2.228,0.002
13thGenIntelRCoreTMi5-13500,1B,dzaima,6,6,2.076,2.152,0.043
13thGenIntelRCoreTMi5-13500,1B,jerrinot,6,6,2.045,2.049,0.003
13thGenIntelRCoreTMi5-13500,1B,jerrinot,6,12,1.452,1.454,0.000
13thGenIntelRCoreTMi5-13500,1B,kpocza,6,6,3.531,3.543,0.005
13thGenIntelRCoreTMi5-13500,1B,kpocza,6,12,2.137,2.145,0.004
13thGenIntelRCoreTMi5-13500,1B,lehuyduc,6,6,2.183,2.206,0.007
13thGenIntelRCoreTMi5-13500,1B,lehuyduc,6,12,1.563,1.566,0.003
13thGenIntelRCoreTMi5-13500,1B,mtopolnik,6,6,3.215,3.231,0.010
13thGenIntelRCoreTMi5-13500,1B,mtopolnik,6,12,2.053,2.059,0.005
13thGenIntelRCoreTMi5-13500,1B,mtopolnik-rs,6,6,3.382,3.390,0.001
13thGenIntelRCoreTMi5-13500,1B,mtopolnik-rs,6,12,2.564,2.567,0.002
13thGenIntelRCoreTMi5-13500,1B,nietras,6,6,3.350,3.398,0.027
13thGenIntelRCoreTMi5-13500,1B,nietras,6,12,2.025,2.071,0.020
13thGenIntelRCoreTMi5-13500,1B,NimaAra,6,6,6.478,6.493,0.009
13thGenIntelRCoreTMi5-13500,1B,NimaAra,6,12,4.895,4.900,0.007
13thGenIntelRCoreTMi5-13500,1B,noahfalk,6,6,1.286,1.288,0.001
13thGenIntelRCoreTMi5-13500,1B,noahfalk,6,12,1.123,1.132,0.003
13thGenIntelRCoreTMi5-13500,1B,pedrosakuma,6,6,6.216,6.230,0.003
